stem,options,answer,analysis,knowledgePointIds,difficulty,type,source,year,expectedTimeSec
"二叉树有 8 个叶子结点和 6 个度为 1 的结点，则该二叉树共有多少个结点?","A.21|B.22|C.23|D.24","A","二叉树中度为 0 的结点数 n0 与度为 2 的结点数 n2 满足 n0=n2+1，所以 n2=7。总结点数为 n0+n1+n2=8+6+7=21。","ds-tree","基础","选择题","自编基础题",2026,90
"Cache 命中率提高时，在主存访问时间不变的情况下，平均访存时间通常会?","A.增大|B.减小|C.不变|D.无法判断","B","平均访存时间可近似理解为命中部分和未命中部分的加权平均，命中率提高会增加快速 Cache 访问的占比。","co-cache","基础","选择题","自编基础题",2026,70
"组相联 Cache 相比直接映射 Cache 的主要优势是?","A.一定减少容量|B.降低冲突不命中的概率|C.完全消除强制不命中|D.不需要替换算法","B","组相联允许一个主存块映射到某一组中的多个位置，减少直接映射下多个块争同一行的冲突。","co-cache","中等","选择题","自编概念题",2026,90
"若 Cache 行大小为 64B，则块内地址至少需要多少位?","A.4|B.5|C.6|D.7","C","64B=2^6B，因此块内偏移需要 6 位。","co-cache","基础","选择题","自编计算题",2026,60
"在写回法 Cache 中，脏位的作用是?","A.表示该行是否命中|B.表示该行是否被 CPU 修改过|C.表示该行是否为空|D.表示该行是否只读","B","写回法下被修改的 Cache 行在替换时需要写回主存，脏位用于标记该行是否与主存副本不同。","co-cache","中等","选择题","自编易错题",2026,80
"Cache 采用 LRU 替换算法时，优先替换的是?","A.最早装入的块|B.最近最少使用的块|C.访问次数最多的块|D.地址最小的块","B","LRU 根据时间局部性，替换最长时间未被访问的块。","co-cache","基础","选择题","自编基础题",2026,60
"容量不变时，增大 Cache 块大小可能带来的负面影响是?","A.块内偏移位减少|B.Cache 行数减少导致冲突增加|C.主存容量减少|D.命中时间一定为零","B","块大小增大而总容量不变，会减少 Cache 行数，可能增加冲突不命中；同时一次未命中装入代价也可能变大。","co-cache","中等","选择题","自编分析题",2026,110
"程序循环访问连续数组元素时，Cache 主要利用的是哪种局部性?","A.时间局部性|B.空间局部性|C.控制局部性|D.替换局部性","B","连续数组元素地址相邻，装入一个 Cache 块后可顺带命中邻近元素，体现空间局部性。","co-cache","基础","选择题","自编基础题",2026,60
"全相联 Cache 的标记比较通常需要和哪些行比较?","A.仅一个固定行|B.某一组内所有行|C.Cache 中所有有效行|D.主存所有块","C","全相联中任意主存块可放入任意 Cache 行，查找时需在所有有效行中比较标记。","co-cache","中等","选择题","自编概念题",2026,80
"某访问序列的 Cache 命中次数为 75，总访问次数为 100，则命中率为?","A.25%|B.50%|C.75%|D.100%","C","命中率=命中次数/总访问次数=75/100=75%。","co-cache","基础","选择题","自编计算题",2026,50
"P、V 操作中，P 操作通常表示?","A.释放资源|B.申请或等待资源|C.创建进程|D.结束进程","B","P 操作会使信号量减 1；若资源不足，进程可能阻塞等待。V 操作通常释放资源并唤醒等待者。","os-sync","基础","选择题","自编基础题",2026,70
"互斥信号量初值通常设置为 1，表示什么含义?","A.没有进程能进入临界区|B.最多一个进程进入临界区|C.允许两个进程同时进入|D.信号量不可修改","B","互斥信号量初值为 1 表示临界资源初始可用，P 后变为 0，其他进程需等待，从而保证互斥。","os-sync","基础","选择题","自编基础题",2026,80
"生产者-消费者问题中，empty 信号量通常表示?","A.已有产品数量|B.空缓冲区数量|C.生产者数量|D.消费者数量","B","empty 记录可用空缓冲区个数，生产者生产前需要 P(empty)，消费者消费后 V(empty)。","os-sync","中等","选择题","自编易错题",2026,90
"若两个进程都先申请资源 A 再申请资源 B，主要破坏了死锁的哪个必要条件?","A.互斥条件|B.请求并保持条件|C.循环等待条件|D.不可剥夺条件","C","统一资源申请顺序可避免形成环形等待链，因此破坏循环等待条件。","os-sync","中等","选择题","自编概念题",2026,100
"临界区问题的正确性要求通常不包括?","A.互斥|B.空闲让进|C.有限等待|D.提高 CPU 主频","D","临界区同步算法通常要求互斥、空闲让进、有限等待，不涉及硬件主频提升。","os-sync","基础","选择题","自编基础题",2026,60
"在管程中，互斥访问共享数据通常由谁保证?","A.调用者手动保证|B.管程机制本身保证|C.磁盘调度器保证|D.编译器删除共享数据","B","管程将共享数据和操作封装起来，同一时刻通常只允许一个进程在管程内执行。","os-sync","中等","选择题","自编概念题",2026,90
"记录型信号量中，当信号量值小于 0 时，其绝对值通常表示?","A.空闲资源数|B.等待该资源的进程数|C.已完成进程数|D.CPU 核数","B","记录型信号量 value 为负时，说明资源不足，其绝对值可表示等待队列中的进程数量。","os-sync","中等","选择题","自编易错题",2026,90
"读者-写者问题中，允许多个读者同时读的前提是?","A.没有写者正在写|B.至少一个写者等待|C.缓冲区为空|D.读者优先级都相同","A","多个读者可共享读操作，但写操作必须互斥；只要没有写者正在写，多个读者可同时读。","os-sync","中等","选择题","自编概念题",2026,90
"PV 操作必须具有什么特性，才能正确实现同步互斥?","A.可中断性|B.原子性|C.随机性|D.可交换性","B","P、V 操作若不能原子执行，就可能在检查和修改信号量时发生竞态，破坏同步互斥。","os-sync","基础","选择题","自编基础题",2026,70
"用信号量实现前趋关系 S1 -> S2 时，通常应在 S1 后执行什么操作?","A.P(s)|B.V(s)|C.删除信号量|D.阻塞 S1","B","若 S2 前执行 P(s)，则 S1 完成后应执行 V(s) 释放前趋信号，保证 S2 在 S1 之后发生。","os-sync","中等","选择题","自编应用题",2026,100
"TCP 可靠传输主要依靠确认、重传和什么机制共同实现?","A.端口扫描|B.序号机制|C.域名解析|D.路由聚合","B","TCP 为字节流编号，接收方确认已收到的数据范围，发送方据此判断是否需要重传。","net-tcp","基础","选择题","自编基础题",2026,70
"TCP 三次握手中，第二次握手报文通常同时携带哪些标志?","A.SYN 和 ACK|B.FIN 和 ACK|C.RST 和 FIN|D.PSH 和 URG","A","服务器收到客户端 SYN 后，回复 SYN=1、ACK=1，既确认客户端请求，也发起自己的同步请求。","net-tcp","基础","选择题","自编基础题",2026,80
"滑动窗口协议中，发送窗口大小主要限制什么?","A.一次能发送但尚未确认的数据量|B.路由表项数量|C.端口号范围|D.DNS 缓存大小","A","发送窗口规定发送方在未收到确认前最多可以连续发送的数据量。","net-tcp","基础","选择题","自编概念题",2026,70
"TCP 拥塞避免阶段拥塞窗口通常如何增长?","A.指数增长|B.近似线性增长|C.立即清零|D.保持固定不变","B","拥塞避免阶段通常采用加性增大，使拥塞窗口随往返轮次近似线性增长。","net-tcp","中等","选择题","自编基础题",2026,80
"当 TCP 发送方连续收到 3 个重复 ACK 时，通常会触发?","A.快速重传|B.域名解析|C.ARP 请求|D.连接释放","A","连续重复 ACK 常被视为个别报文段丢失的信号，TCP 可不等超时就进行快速重传。","net-tcp","中等","选择题","自编易错题",2026,90
"TCP 与 UDP 的主要区别之一是?","A.TCP 面向连接，UDP 无连接|B.UDP 一定可靠|C.TCP 不使用端口|D.UDP 只能用于网页","A","TCP 提供面向连接的可靠字节流服务，UDP 提供无连接的不可靠数据报服务。","net-tcp","基础","选择题","自编基础题",2026,60
"TCP 连接释放通常采用四次挥手，主要原因是?","A.双方数据发送方向需要分别关闭|B.必须经过 DNS|C.必须重新分配 IP|D.为了扩大窗口","A","TCP 是全双工连接，一方关闭发送方向后，另一方可能仍有数据要发送，因此两个方向通常分别关闭。","net-tcp","中等","选择题","自编概念题",2026,100
"接收方通告窗口为 0 时，发送方通常应如何处理?","A.继续大量发送数据|B.暂停发送普通数据并进行窗口探测|C.立即关闭主机|D.改用 UDP","B","零窗口表示接收缓存暂不可用，发送方应暂停普通发送，并可发送探测报文了解窗口是否恢复。","net-tcp","中等","选择题","自编分析题",2026,100
"TCP 首部中的端口号主要用于?","A.主机到主机寻址|B.进程到进程的交付|C.物理链路编码|D.选择网卡速率","B","IP 地址定位主机，传输层端口号用于定位主机上的具体应用进程。","net-tcp","基础","选择题","自编基础题",2026,60
"在 TCP 中，流量控制主要防止什么问题?","A.发送方压垮接收方缓存|B.路由环路|C.域名过期|D.MAC 地址冲突","A","流量控制根据接收方窗口限制发送速率，避免接收方缓存溢出；拥塞控制则面向网络拥塞。","net-tcp","中等","选择题","自编易错题",2026,90
