stem,options,answer,analysis,knowledgePointIds,difficulty,type,source,year,expectedTimeSec
折半查找要求线性表满足?（变式 2，数据结构-排序与查找）,A.链式存储|B.元素互不相等|C.长度必须为奇数|D.有序且支持随机访问,D,折半查找依赖中间位置随机访问和有序性来缩小查找区间。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-sort,中等,选择题,自编变式题,2026,120
直接插入排序在基本有序序列上的表现通常是?（变式 3，数据结构-排序与查找）,A.无法执行|B.空间复杂度最高|C.较好|D.最差,C,基本有序时元素移动次数少，直接插入排序接近线性时间。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-sort,中等,选择题,自编变式题,2026,80
快速排序平均时间复杂度是?（变式 3，数据结构-排序与查找）,A.O(log n)|B.O(n)|C.O(n log n)|D.O(n^2),C,快速排序平均每次划分较均衡，递归层数约 log n，每层处理 n 个元素。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-sort,中等,选择题,自编变式题,2026,90
归并排序的典型额外空间复杂度是?（变式 3，数据结构-排序与查找）,A.O(1)|B.O(log n)|C.O(n)|D.O(n^2),C,二路归并通常需要辅助数组暂存合并结果，因此额外空间为 O(n)。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-sort,中等,选择题,自编变式题,2026,100
堆排序建立大根堆后，每次输出的是?（变式 3，数据结构-排序与查找）,A.当前最小值|B.中位数|C.随机值|D.当前最大值,D,大根堆堆顶是当前未排序元素中的最大值。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-sort,中等,选择题,自编变式题,2026,110
折半查找要求线性表满足?（变式 3，数据结构-排序与查找）,A.元素互不相等|B.长度必须为奇数|C.有序且支持随机访问|D.链式存储,C,折半查找依赖中间位置随机访问和有序性来缩小查找区间。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-sort,中等,选择题,自编变式题,2026,120
直接插入排序在基本有序序列上的表现通常是?（变式 4，数据结构-排序与查找）,A.空间复杂度最高|B.较好|C.最差|D.无法执行,B,基本有序时元素移动次数少，直接插入排序接近线性时间。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-sort,中等,选择题,自编变式题,2026,80
快速排序平均时间复杂度是?（变式 4，数据结构-排序与查找）,A.O(n)|B.O(n log n)|C.O(n^2)|D.O(log n),B,快速排序平均每次划分较均衡，递归层数约 log n，每层处理 n 个元素。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-sort,困难,选择题,自编变式题,2026,90
归并排序的典型额外空间复杂度是?（变式 4，数据结构-排序与查找）,A.O(log n)|B.O(n)|C.O(n^2)|D.O(1),B,二路归并通常需要辅助数组暂存合并结果，因此额外空间为 O(n)。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-sort,困难,选择题,自编变式题,2026,100
堆排序建立大根堆后，每次输出的是?（变式 4，数据结构-排序与查找）,A.中位数|B.随机值|C.当前最大值|D.当前最小值,C,大根堆堆顶是当前未排序元素中的最大值。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-sort,困难,选择题,自编变式题,2026,110
折半查找要求线性表满足?（变式 4，数据结构-排序与查找）,A.长度必须为奇数|B.有序且支持随机访问|C.链式存储|D.元素互不相等,B,折半查找依赖中间位置随机访问和有序性来缩小查找区间。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-sort,困难,选择题,自编变式题,2026,120
补码表示中，n 位带符号整数的范围是?,A.-2^(n-1) 到 2^(n-1)-1|B.0 到 2^n-1|C.-2^n 到 2^n-1|D.-2^(n-1)+1 到 2^(n-1)-1,A,补码最高位为符号位，负数比正数多一个最小值。,co-data,基础,选择题,自编基础题,2026,80
判断补码加法溢出的常见依据是?,A.结果为 0|B.最高位为 1|C.低位产生进位|D.同号相加结果异号,D,两个同号数相加若结果符号改变，说明超出补码表示范围。,co-data,基础,选择题,自编基础题,2026,90
浮点数阶码的主要作用是?,A.保存符号|B.决定总线宽度|C.表示数值范围|D.表示有效数字精度,C,阶码决定小数点位置，主要影响浮点数可表示范围。,co-data,基础,选择题,自编基础题,2026,100
规格化浮点数的主要目的是?,A.固定结果为整数|B.提高有效位利用率|C.减少指令条数|D.避免使用阶码,B,规格化使尾数最高有效位满足约定，提高有效数字利用率。,co-data,基础,选择题,自编基础题,2026,110
原码表示中 0 通常存在的问题是?,A.有 +0 和 -0 两种表示|B.无法表示正数|C.无法表示负数|D.只能表示偶数,A,原码符号位独立，数值位全 0 时可能出现正零和负零。,co-data,基础,选择题,自编基础题,2026,120
补码表示中，n 位带符号整数的范围是?（变式 2，计算机组成原理-数据表示与运算）,A.0 到 2^n-1|B.-2^n 到 2^n-1|C.-2^(n-1)+1 到 2^(n-1)-1|D.-2^(n-1) 到 2^(n-1)-1,D,补码最高位为符号位，负数比正数多一个最小值。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-data,基础,选择题,自编变式题,2026,80
判断补码加法溢出的常见依据是?（变式 2，计算机组成原理-数据表示与运算）,A.最高位为 1|B.低位产生进位|C.同号相加结果异号|D.结果为 0,C,两个同号数相加若结果符号改变，说明超出补码表示范围。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-data,基础,选择题,自编变式题,2026,90
浮点数阶码的主要作用是?（变式 2，计算机组成原理-数据表示与运算）,A.决定总线宽度|B.表示数值范围|C.表示有效数字精度|D.保存符号,B,阶码决定小数点位置，主要影响浮点数可表示范围。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-data,基础,选择题,自编变式题,2026,100
规格化浮点数的主要目的是?（变式 2，计算机组成原理-数据表示与运算）,A.提高有效位利用率|B.减少指令条数|C.避免使用阶码|D.固定结果为整数,A,规格化使尾数最高有效位满足约定，提高有效数字利用率。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-data,中等,选择题,自编变式题,2026,110
原码表示中 0 通常存在的问题是?（变式 2，计算机组成原理-数据表示与运算）,A.无法表示正数|B.无法表示负数|C.只能表示偶数|D.有 +0 和 -0 两种表示,D,原码符号位独立，数值位全 0 时可能出现正零和负零。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-data,中等,选择题,自编变式题,2026,120
补码表示中，n 位带符号整数的范围是?（变式 3，计算机组成原理-数据表示与运算）,A.-2^n 到 2^n-1|B.-2^(n-1)+1 到 2^(n-1)-1|C.-2^(n-1) 到 2^(n-1)-1|D.0 到 2^n-1,C,补码最高位为符号位，负数比正数多一个最小值。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-data,中等,选择题,自编变式题,2026,80
判断补码加法溢出的常见依据是?（变式 3，计算机组成原理-数据表示与运算）,A.低位产生进位|B.同号相加结果异号|C.结果为 0|D.最高位为 1,B,两个同号数相加若结果符号改变，说明超出补码表示范围。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-data,中等,选择题,自编变式题,2026,90
浮点数阶码的主要作用是?（变式 3，计算机组成原理-数据表示与运算）,A.表示数值范围|B.表示有效数字精度|C.保存符号|D.决定总线宽度,A,阶码决定小数点位置，主要影响浮点数可表示范围。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-data,中等,选择题,自编变式题,2026,100
规格化浮点数的主要目的是?（变式 3，计算机组成原理-数据表示与运算）,A.减少指令条数|B.避免使用阶码|C.固定结果为整数|D.提高有效位利用率,D,规格化使尾数最高有效位满足约定，提高有效数字利用率。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-data,中等,选择题,自编变式题,2026,110
原码表示中 0 通常存在的问题是?（变式 3，计算机组成原理-数据表示与运算）,A.无法表示负数|B.只能表示偶数|C.有 +0 和 -0 两种表示|D.无法表示正数,C,原码符号位独立，数值位全 0 时可能出现正零和负零。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-data,中等,选择题,自编变式题,2026,120
